,user,text,favorite_count,retweet_count,created_at
59,narendramodi,The plight of the fertiliser sector before 2014 is widely known. Equally well known is the monumental change that has taken place since 2014. https://t.co/mSiWN9MlCh,9910,3285,2022-10-17 15:52:24+00:00
60,narendramodi,PMJAY-MA Yojana Ayushman cards will ensure top quality and affordable medical care. https://t.co/Ak5bFjm57T,15770,5160,2022-10-17 11:15:40+00:00
61,narendramodi,Historic day for farmer welfare. Launching initiatives for fulfilling the aspirations of our 'Annadatas'. https://t.co/XSfZ1okHUW,17847,6052,2022-10-17 07:09:46+00:00
62,narendramodi,Birthday wishes to Punjab CM Shri @BhagwantMann Ji. May he be blessed with a long and healthy life.,35006,3567,2022-10-17 02:20:40+00:00
63,narendramodi,हमारी सरकार अन्नदाताओं के जीवन को आसान बनाने के लिए प्रतिबद्ध है। इसी कड़ी में कल सुबह 11:30 बजे दिल्ली में किसान सम्मान सम्मेलन का उद्घाटन करने के साथ ही पीएम-किसान की 12वीं किस्त भी जारी करूंगा। इस अवसर पर कई और योजनाओं को शुरू करने का भी सौभाग्य मिलेगा।https://t.co/qrkME13nSa,22763,5710,2022-10-16 16:49:06+00:00
64,narendramodi,"वित्तीय भागीदारी जब डिजिटल भागीदारी से जुड़ जाती है, तो संभावनाओं का एक नया संसार खुलने लगता है। https://t.co/CqUbBjiJnQ",12292,3961,2022-10-16 12:43:26+00:00
65,narendramodi,हमारा संकल्प है… https://t.co/uxW40a4bH7,17385,4832,2022-10-16 12:43:12+00:00
66,narendramodi,Two ways through which we empowered India’s poor as far as financial inclusion is concerned. https://t.co/xL8ZP1ftzI,9537,3337,2022-10-16 12:42:49+00:00
67,narendramodi,"मेडिकल शिक्षा के क्षेत्र में हुआ यह शुभारंभ देश में एक बड़ा सकारात्मक बदलाव लाने वाला है। इससे लाखों विद्यार्थी जहां अपनी भाषा में पढ़ाई कर सकेंगे, वहीं उनके लिए अवसरों के भी अनेक द्वार खुलेंगे। https://t.co/kuD9CErsPu",24836,6319,2022-10-16 12:40:03+00:00
68,narendramodi,The 75 Digital Banking Units will further financial inclusion &amp; enhance banking experience for citizens. https://t.co/gL4lEE6b7d,14399,4742,2022-10-16 05:51:02+00:00
69,narendramodi,"Financial inclusion and technology are essential for progress. At 11 AM today, 75 Digital Banking Units (DBUs) will be dedicated to the nation. This initiative will have several benefits which will go a long way in transforming lives. https://t.co/U2zz7rGpE1",11921,3152,2022-10-16 04:06:11+00:00
70,narendramodi,Birthday wishes to Odisha CM Shri Naveen Patnaik Ji. May he lead a long and healthy life in service of the people. @Naveen_Odisha,36877,4255,2022-10-16 03:23:44+00:00
71,narendramodi,"Chaired the @CSIR_IND meeting earlier today. Emphasised on ways to improve the research eco-system in India, address the needs of sectors like agriculture and energy, and ensuring our innovations help the common citizens. https://t.co/flbuXWQSjt",9406,2645,2022-10-15 16:09:47+00:00
72,narendramodi,"I’ve been fortunate to have interacted closely with Dr. Kalam over the years. I have witnessed at close quarters his brilliance, humility and passion towards India’s progress. https://t.co/8a0k6V4mci",16673,3801,2022-10-15 16:08:36+00:00
73,narendramodi,Commendable effort. https://t.co/niXVc9Fpiu,25286,4432,2022-10-15 16:07:15+00:00
74,narendramodi,Our women cricket team makes us proud with their grit and dexterity! Congratulations to the team for winning the Women’s Asia Cup. They have shown outstanding skill and teamwork. Best wishes to the players for their upcoming endeavours. https://t.co/6hq5V08Cy9,65387,9927,2022-10-15 11:05:06+00:00
75,narendramodi,Addressing the inaugural session of All India Conference of Law Ministers and Secretaries. https://t.co/sWk3fhHIIm,14671,5089,2022-10-15 05:06:18+00:00
76,narendramodi,Birthday wishes to Union Minister Dr. Mahendra Nath Pandey Ji. He is working hard to strengthen the heavy industries sector which plays a key role in furthering economic growth. Praying for his long and healthy life. @DrMNPandeyMP,16438,3279,2022-10-15 03:40:30+00:00
77,narendramodi,Tributes to our former President Dr. APJ Abdul Kalam. He is greatly admired for his contribution to our nation as a scientist and as a President who struck a chord with every section of society. https://t.co/vPwICWxA3u,45164,9383,2022-10-15 03:38:49+00:00
78,narendramodi,The last 8 years have witnessed continuous efforts to deepen connectivity in the Northeast. This will particularly help the youth in the region. https://t.co/ZCuL49ZHV2,10703,3338,2022-10-14 16:03:08+00:00
79,narendramodi,Happy to see this. Smriti Van is a tribute to those we tragically lost in the Earthquake of 2001. It also chronicles Gujarat’s resilience. The coming months will be a great time to visit Kutch. There’s the Rann Utsav and now there’s Smriti Van also. https://t.co/545MCxy8k6,9257,2936,2022-10-14 16:02:40+00:00
80,narendramodi,"At 10:30 AM tomorrow, 15th October, will address the All India Conference of Law Ministers and Law Secretaries. This forum will witness deliberations on various subjects relating to the Indian legal apparatus.",38469,6661,2022-10-14 15:52:08+00:00
81,narendramodi,"The 2022 National Games will also be remembered for the focus on sustainability including furthering awareness on recycling, reducing plastic waste and enhancing cleanliness. I would also like to laud the people and Government of Gujarat for their hospitality through the Games.",6248,2302,2022-10-13 15:02:29+00:00
82,narendramodi,This year's National Games were special for various reasons. The sporting infra was widely appreciated by the athletes. The widespread participation in traditional sports was also among the highlights.,7987,2507,2022-10-13 15:02:28+00:00
83,narendramodi,The National Games 2022 concluded yesterday. I salute every athlete who took part and enhanced the spirit of sportsmanship. Congratulations to all those who won medals in the games. Proud of their accomplishments. My best wishes to all athletes for their future endeavours. https://t.co/QQL0xE8u1N,20438,4787,2022-10-13 15:02:27+00:00
84,narendramodi,Thank you Himachal Pradesh. The affection of people is humbling and gives me more strength to work in their service. https://t.co/X3OtezXi5x,20649,4967,2022-10-13 14:57:10+00:00
85,narendramodi,The Vande Bharat train flagged off earlier today will improve connectivity and give an opportunity for many more people to explore the natural beauty and spirituality of Himachal Pradesh. https://t.co/GZnqjmLEka,44456,7247,2022-10-13 14:56:32+00:00
86,narendramodi,"अब हिमाचल वाले हक नहीं मांगते, दिल्ली में हक जताते हैं और हमें आदेश देते हैं। जनता-जनार्दन के इस आदेश को मैं अपना सौभाग्य समझता हूं। https://t.co/V2Kd8vNnYB",20968,5477,2022-10-13 11:20:20+00:00
87,narendramodi,"हिमाचल के सैकड़ों गांव पहली बार सड़कों से जुड़े हैं। आज शुरू हुई योजना से भी 3 हजार किलोमीटर की सड़कें गांवों में बनेंगी, जिसका सबसे अधिक लाभ चंबा और दूसरे जनजातीय क्षेत्रों के गांवों को होगा। https://t.co/2sAwCL8UGx",12093,4275,2022-10-13 11:19:47+00:00
